name	mod	context	context_source	default	live	english	russian
key.occultism.familiar.blacksmith_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Blacksmith	Переключение эффекта перстня: кузнец
key.occultism.familiar.chimera_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Chimera	Переключение эффекта перстня: химера
key.occultism.familiar.cthulhu_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Cthulhu	Переключение эффекта перстня: Ктулху
key.occultism.familiar.deer_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Deer	Переключение эффекта перстня: олень
key.occultism.familiar.devil_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Devil	Переключение эффекта перстня: дьявол
key.occultism.familiar.dragon_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Dragon	Переключение эффекта перстня: дракон
key.occultism.familiar.fairy_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Fairy	Переключение эффекта перстня: фея
key.occultism.familiar.goat_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Goat	Переключение эффекта перстня: коза
key.occultism.familiar.greedy_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Greedy	Переключение эффекта перстня: алчный
key.occultism.familiar.guardian_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Guardian	Переключение эффекта перстня: страж
key.occultism.familiar.headless_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Headless Ratman	Переключение эффекта перстня: безголовый человек на крысе
key.occultism.familiar.mummy_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Mummy	Переключение эффекта перстня: мумия
key.occultism.familiar.otherworld_bird	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Drikwing	Переключение эффекта перстня: дрикрыл
key.occultism.familiar.shub_niggurath_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Shub Niggurath	Переключение эффекта перстня: Шаб-Ниггурат
key.occultism.storage_remote	occultism	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.n	Open Storage Accessor	Открыть средство доступа к хранилищу
key.ok_zoomer.decrease_zoom	ok_zoomer	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Decrease Zoom	
key.ok_zoomer.increase_zoom	ok_zoomer	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Increase Zoom	
key.ok_zoomer.reset_zoom	ok_zoomer	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Reset Zoom	
key.ok_zoomer.zoom	ok_zoomer	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.x	Zoom	
key.omnigrid.open_omni_grid	omnigrid	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Omni Grid	
key.openManual	mcjtylib	GUI	bytecode	key.keyboard.f1	key.keyboard.f1	Open Manual	
key.openNotes	notes	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.n	Open Notes	Открыть заметки
key.open_deepnull.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Open/close DeepNull in hotbar	
key.open_menu	minemenu	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Open Mine Menu	
key.open_muffler_gui	extremesoundmuffler	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open sound muffler screen	
key.oracle_index.open	oracle_index	UNIVERSAL	assumed	key.keyboard.i	key.keyboard.i	Open Oracle Index	Открыть Индекс Оракула
key.oracle_index.search	oracle_index	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Oracle Search	Открыть Поиск Оракула
key.oritech.augment_screen	oritech	UNIVERSAL	assumed	key.keyboard.g	key.keyboard.g	Implant Controls [Hold]	Управление имплантами [Удерживать]
key.overenchanted.echo_sight	overenchanted	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Echo Sight Enchantment Use	Использование чар Зрячего Эха
key.overenchanted.lumberjack	overenchanted	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Lumberjack Enchantment Button	Кнопка Чар Лесоруба
key.pickItem	minecraft	UNIVERSAL	assumed	key.mouse.middle	key.mouse.middle		
key.playerlist	minecraft	UNIVERSAL	assumed	key.keyboard.tab	key.keyboard.tab		
key.ponder.ponder	ponder	UNIVERSAL	assumed	key.keyboard.w	key.keyboard.w		
key.prevDestination	rftoolsbase	IN_GAME	bytecode	key.keyboard.left.bracket	key.keyboard.left.bracket	Cycle to previous target	
key.previous_item.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Cycle to previous item in DeepNull	
key.refinedstorage.clear_crafting_grid_matrix_to_inventory	refinedstorage	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Clear Crafting Grid matrix to inventory	Очистить терминал создания в инвентарь
key.refinedstorage.clear_crafting_grid_matrix_to_network	refinedstorage	UNIVERSAL	assumed	key.keyboard.x:CONTROL	key.keyboard.x:CONTROL	Clear Crafting Grid matrix to network	Очистить терминал создания в сеть
key.refinedstorage.focus_search_bar	refinedstorage	UNIVERSAL	assumed	key.keyboard.tab	key.keyboard.tab	Focus search bar	Фокус на строку поиска
key.refinedstorage.open_portable_grid	refinedstorage	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Portable Grid	Открыть Переносной Терминал
key.refinedstorage.open_wireless_autocrafting_monitor	refinedstorage	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Autocrafting Monitor	Открыть беспроводный монитор автокрафта
key.refinedstorage.open_wireless_grid	refinedstorage	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Grid	Открыть Беспроводной Терминал
key.refinedstorage_quartz_arsenal.open_wireless_crafting_grid	refinedstorage_quartz_arsenal	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Crafting Grid	Открыть беспроводный терминал создания
key.relics.active_abilities_list	relics	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Active Abilities Menu	Меню активных способностей
key.relics.research_relic	relics	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Research Relic Under Cursor	Исследовать реликвию под курсором
key.right	minecraft	UNIVERSAL	assumed	key.keyboard.d	key.keyboard.d		
key.saveToolbarActivator	minecraft	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c		
key.screenshot	minecraft	UNIVERSAL	assumed	key.keyboard.f2	key.keyboard.f2		
key.screenshot_viewer.open_screenshots_screen	screenshot_viewer	UNIVERSAL	assumed		key.keyboard.unknown	Open Screenshot Manager	
key.scrollAbility	enigmaticlegacyplus	UNIVERSAL	assumed		key.keyboard.j	Arcane Scroll Active Ability	Активная способность свитка:
key.securitycraft.cameraActivateNightVision	securitycraft	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.n	Toggle Night Vision	Переключить ночное видение
key.securitycraft.cameraEmitRedstone	securitycraft	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Toggle Redstone Output	Переключить выход редстоуна
key.securitycraft.cameraZoomIn	securitycraft	UNIVERSAL	assumed	key.keyboard.equal	key.keyboard.equal	Zoom In	Приблизить
key.securitycraft.cameraZoomOut	securitycraft	UNIVERSAL	assumed	key.keyboard.minus	key.keyboard.minus	Zoom Out	Отдалить
key.securitycraft.setDefaultViewingDirection	securitycraft	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.u	Set default viewing direction	Установить направление просмотра по умолчанию
key.selectiveDisplacement	mahoutsukai	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.h	Selective Displacement	Выборочная замена
key.settingsGUI	mahoutsukai	UNIVERSAL	assumed	key.keyboard.period	key.keyboard.period	Mahou Settings GUI	Настройки GUI Mahoutsukai
key.sfm.container_inspector.activation_key	sfm	UNIVERSAL	assumed	key.keyboard.i:CONTROL	key.keyboard.i:CONTROL	Toggle Container Inspector	Переключить инспектор контейнеров
key.sfm.item_inspector.activation_key	sfm	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	(WIP) Copy Hovered Item To Clipboard	(WIP) Скопировать наведённый предмет в буфер обмена
key.sfm.label_gun.clear_modifier	sfm	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Label Gun Clear Modifier	Модификатор очистки пистолета для меток
key.sfm.label_gun.contiguous_modifier	sfm	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Label Gun Contiguous Modifier	Модификатор непрерывного действия пистолета для меток
key.sfm.label_gun.next_label	sfm	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Label Gun Next Label	Следующая метка на пистолете
key.sfm.label_gun.open_gui	sfm	UNIVERSAL	assumed		key.keyboard.unknown	Open Label Gun GUI	
key.sfm.label_gun.pick_block_modifier	sfm	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Label Gun Pick Block Modifier	Модификатор выбора блока пистолетом для меток
key.sfm.label_gun.previous_label	sfm	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Label Gun Previous Label	Предыдущая метка на пистолете
key.sfm.label_gun.pull_modifier	sfm	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Label Gun Pull Modifier	Модификатор получения меток пистолетом
key.sfm.label_gun.scroll_modifier	sfm	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Label Gun Scroll Modifier	Модификатор прокрутки пистолета для меток
key.sfm.label_gun.target_manager_modifier	sfm	UNIVERSAL	assumed	key.keyboard.right.alt	key.keyboard.right.alt	Label Gun Target Manager Modifier	Модификатор выбора управляющего пистолетом для меток
key.sfm.manager.text_editor	sfm	UNIVERSAL	assumed	key.keyboard.e:CONTROL	key.keyboard.e:CONTROL	Manager Screen - Open Text Editor	Экран управляющего — открыть текстовый редактор
key.sfm.more_info	sfm	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Hold For More Info	Удерживать для подробной информации
key.sfm.text_editor.accept_intellisense	sfm	UNIVERSAL	assumed		key.keyboard.backslash	Text Editor - Accept Intellisense Suggestion	
key.sfm.title_screen.text_editor	sfm	UNIVERSAL	assumed	key.keyboard.e:CONTROL	key.keyboard.e:CONTROL	Title Screen - Open Text Editor	Главный экран — открыть текстовый редактор
key.sfm.toggle_label_view_key	sfm	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Cycle label gun view	Переключить режим отображения меток
key.sfm.toggle_network_tool_overlay	sfm	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Toggle network tool overlay	Переключить оверлей сетевого инструмента
key.shetiphiancore.tool.next	shetiphiancore	UNIVERSAL	assumed	key.keyboard.page.up	key.keyboard.page.up		
key.shetiphiancore.tool.previous	shetiphiancore	UNIVERSAL	assumed	key.keyboard.page.down	key.keyboard.page.down		
key.showcaseitem.showcaseitem	showcaseitem	GUI	bytecode	key.keyboard.t:SHIFT	key.keyboard.t:SHIFT	Showcase Item	
key.silentgear.cycle.back	silentgear	UNIVERSAL	assumed	key.keyboard.z	key.keyboard.z	Cycle Back	Назад
key.silentgear.cycle.next	silentgear	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Cycle Next	Вперед
key.silentgear.displayItemConstruction	silentgear	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Display Construction and Materials	
key.silentgear.displayItemProperties	silentgear	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Display Properties and Traits	
key.silentgear.displayTraitDescriptions	silentgear	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Display Trait Descriptions	
key.silentgear.openItem	silentgear	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.x	Open Item	Открыть предмет
key.smallships.ship_sail	smallships	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Toggle Sail	Контроль паруса
key.smoothCamera	minecraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown		
key.sneak	minecraft	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift		
key.socialInteractions	minecraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.p		
key.sophisticatedbackpacks.inventory_interaction	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Run Inventory Interaction Upgrades	Загрузить или выгрузить содержимое
key.sophisticatedbackpacks.open_backpack	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.b	key.keyboard.b	Open Backpack	Открыть рюкзак
key.sophisticatedbackpacks.toggle_upgrade_1	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.z:ALT	key.keyboard.z:ALT	Switch Upgrade in the 1st Slot On/Off	Переключить улучшение в слоте 1
key.sophisticatedbackpacks.toggle_upgrade_2	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.x:ALT	key.keyboard.x:ALT	Switch Upgrade in the 2nd Slot On/Off	Переключить улучшение в слоте 2
key.sophisticatedbackpacks.toggle_upgrade_3	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch Upgrade in the 3rd Slot On/Off	Переключить улучшение в слоте 3
key.sophisticatedbackpacks.toggle_upgrade_4	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch Upgrade in the 4th Slot On/Off	Переключить улучшение в слоте 4
key.sophisticatedbackpacks.toggle_upgrade_5	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch Upgrade in the 5th Slot On/Off	Переключить улучшение в слоте 5
key.sophisticatedbackpacks.tool_swap	sophisticatedbackpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Swap tool based on current block/entity	Заменить рабочий инструмент
key.sophisticatedcore.deposit_item	sophisticatedcore	UNIVERSAL	assumed	key.keyboard.apostrophe			
key.sophisticatedcore.item_highlight	sophisticatedcore	UNIVERSAL	assumed	key.keyboard.semicolon			
key.sophisticatedcore.restock_item	sophisticatedcore	UNIVERSAL	assumed	key.keyboard.backslash			
key.sophisticatedcore.sort	sophisticatedcore	UNIVERSAL	assumed	key.mouse.middle	key.mouse.middle	Sort Storage/Backpack	Сортировать хранилище или рюкзак
key.sophisticatedcore.transfer_to_inventory	sophisticatedcore	UNIVERSAL	assumed		key.keyboard.right.bracket	Transfer to Inventory	Перенести в инвентарь игрока
key.sophisticatedcore.transfer_to_storage	sophisticatedcore	UNIVERSAL	assumed		key.keyboard.left.bracket	Transfer to Storage	Перенести в инвентарь хранилища
key.sophisticateditemactions.deposit_item	sophisticateditemactions	UNIVERSAL	assumed		key.keyboard.apostrophe	Deposit Item into Storages	Разгрузить предметы в хранилища
key.sophisticateditemactions.item_highlight	sophisticateditemactions	UNIVERSAL	assumed		key.keyboard.semicolon	Highlight Storage with Item	Подсветить хранилище с предметом
key.sophisticateditemactions.restock_item	sophisticateditemactions	UNIVERSAL	assumed		key.keyboard.backslash	Restock Item from Storages	Загрузить предметы из хранилищ
key.spectatorOutlines	minecraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown		
key.spellstoneAbility	enigmaticlegacyplus	UNIVERSAL	assumed		key.keyboard.k	Spellstone Active Ability	Активная способность камня:
key.sprint	minecraft	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control		
key.starcatcher.expand_tournament	starcatcher	IN_GAME	bytecode		key.keyboard.tab	Toggle Tournament Overlay	Переключить оверлей турнира
key.starcatcher.minigame_hit	starcatcher	UNIVERSAL	assumed	key.keyboard.space	key.keyboard.space	Minigame Hit	Удар мини-игры
key.starcatcher.open_guide	starcatcher	IN_GAME	bytecode		key.keyboard.unknown	Open guide	
key.stellaris.freeze_planet_menu	stellaris	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.x	Freeze Planet Selection Menu	Заморозить планеты в меню выбора
key.stellaris.jetsuit_mode	stellaris	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Jet Suit Mode	Режим реактивного костюма
key.stellaris.tablet_info	stellaris	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.n	Tablet Info	Информация о планшете
key.stickit.place	stickit	IN_GAME	bytecode	key.keyboard.p	key.keyboard.p	Place Item	
key.swapOffhand	minecraft	UNIVERSAL	assumed	key.keyboard.f	key.keyboard.f		
key.tankstorage.lockslot	tankstorage	GUI	bytecode	key.keyboard.left.alt	key.keyboard.left.alt	Filter Slot	
key.tankstorage.opentankfromkeybind	tankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Open Tank	
key.tankstorage.toggleinsertmode	tankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Toggle Insert Mode	
key.tankstorage.toggleinteractionmode	tankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Toggle Bucket Mode	
key.the_bumblezone.beehemoth_down	the_bumblezone	UNIVERSAL	assumed	key.keyboard.caps.lock	key.keyboard.caps.lock	Beehemoth Fly Down	Направить Шмеллиафана вниз
key.the_bumblezone.beehemoth_up	the_bumblezone	UNIVERSAL	assumed	key.keyboard.space	key.keyboard.space	Beehemoth Fly Up	Направить Шмеллиафана вверх
key.theurgy.change_item_mode	theurgy	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Change Item Mode	Изменить режим предмета
key.togglePerspective	minecraft	UNIVERSAL	assumed	key.keyboard.f5	key.keyboard.f5		
key.toggle_auto_feeding.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Toggle DeepNull auto-feeding	
key.toggle_auto_pickup.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Toggle DeepNull auto-pickup	
key.toggle_auto_smelting.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Toggle DeepNull auto-smelting	
key.toggle_global_auto_pickup.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Toggle global Null auto-pickup	
key.toggle_hud.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Toggle DeepNull HUD	
key.toggle_sponge.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Toggle DampNull sponge upgrade	
key.toggle_transfer_direction.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Cycle DeepNull transfer direction	
key.toggle_transfer_lock.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Cycle DeepNull output mode	
key.toms_storage.open_terminal	toms_storage	IN_GAME	bytecode	key.keyboard.b	key.keyboard.b	[Tom's Simple Storage] Open Terminal	[Tom's Simple Storage] Открыть терминал
key.toolbelt.cycle.left	toolbelt	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Cycle Tool Left	Циклический инструмент слева
key.toolbelt.cycle.right	toolbelt	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Cycle Tool Right	Циклический инструмент справа
key.toolbelt.open	toolbelt	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Swap Tool	Заменить инструмент
key.toolbelt.slot	toolbelt	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Open Belt Slot Inventory	Открыть слот инвентарь Пояса
key.trashslot.delete	trashslot	UNIVERSAL	assumed	key.keyboard.delete	key.keyboard.delete	Delete Item	Удалить предмет
key.trashslot.delete_all	trashslot	UNIVERSAL	assumed	key.keyboard.delete:SHIFT	key.keyboard.delete:SHIFT	Delete All Items of Type	
key.trashslot.toggle	trashslot	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Show/Hide TrashSlot	Показать/скрыть слот для мусорки
key.trashslot.toggle_lock	trashslot	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Lock/Unlock TrashSlot	
key.twilightforest.item_display_map_cycle	twilightforest	UNIVERSAL	assumed		key.keyboard.c	Cycle Item Display's Stored Maps	
key.twilightforest.red_thread_vision	twilightforest	UNIVERSAL	assumed		key.keyboard.unknown	See Red Thread with Goggles	
key.twilightforest.swap_hotbar	twilightforest	UNIVERSAL	assumed		key.keyboard.v	Swap Hotbar	
key.twilightforest.zoom	twilightforest	UNIVERSAL	assumed		key.keyboard.z	Zoom With Goggles	
key.universalgrid.open_wireless_universal_grid	universalgrid	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Universal Grid	Открыть беспроводной универсальный терминал
key.universalgrid.switch_wireless_universal_grid_type	universalgrid	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch Wireless Universal Grid Type	Switch Wireless Universal Grid Type
key.unmountVehicle	rftoolsbuilder	IN_GAME	bytecode	key.keyboard.backslash	key.keyboard.backslash	Unmount Vehicle	
key.use	minecraft	UNIVERSAL	assumed	key.mouse.right	key.mouse.right		
key.wildex.open	wildex	IN_GAME	bytecode		key.keyboard.b:SHIFT	Open Wildex	
key.xycraft_core.modifier_key	xycraft_core	UNIVERSAL	bytecode	key.keyboard.left.control	key.keyboard.left.control	Modifier Key	
keybind.advancedperipherals.description	advancedperipherals	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Show Description	Показать описание
keybind.ironjetpacks.ascend	ironjetpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Ascend	
keybind.ironjetpacks.decrement_throttle	ironjetpacks	UNIVERSAL	assumed	key.keyboard.comma	key.keyboard.comma	Decrease Throttle	Убавить газ
keybind.ironjetpacks.descend	ironjetpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Descend	Снижение
keybind.ironjetpacks.engine	ironjetpacks	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.f7	Toggle Engine	Режим переключения двигателя
keybind.ironjetpacks.hover	ironjetpacks	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.f9	Toggle Hover Mode	Режим переключения зависания
keybind.ironjetpacks.hud	ironjetpacks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle HUD	
keybind.ironjetpacks.increment_throttle	ironjetpacks	UNIVERSAL	assumed	key.keyboard.period	key.keyboard.f4	Increase Throttle	Прибавить газу
keybind.luggage.call	luggage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Call for Luggage	
keybind.luggage.wait	luggage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Make nearby Luggage wait	
keybind.reliquary.fortune_coin	reliquary	UNIVERSAL	bytecode	key.keyboard.unknown	key.keyboard.unknown	Enable/Disable Fortune Coin	Вкл./Выкл. монетку фортуны
keyinfo.copycats.fill_copycat	copycats	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Fill Copycat with Material	Заполнить весь элемент материалом
legendarytooltips.key.scrollTooltips	legendarytooltips	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Scroll Tooltips	
mininggadgets.text.open_gui	mininggadgets	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Mining Gadget Settings	
options.narrator	minecraft	UNIVERSAL	bytecode	key.keyboard.b:CONTROL	key.keyboard.b:CONTROL		
placebo.toggleTrails	placebo	UNIVERSAL	assumed	key.keyboard.keypad.9	key.keyboard.keypad.9	Toggle Supporter Trails	Переключить Patreon следы
placebo.toggleWings	placebo	UNIVERSAL	assumed	key.keyboard.keypad.8	key.keyboard.keypad.8	Toggle Supporter Wings	Переключить Patreon крылья
pneumaticcraft.armor.options	pneumaticcraft	IN_GAME	bytecode	key.keyboard.u	key.keyboard.u	Pneumatic Armor General Options	Общие параметры Пневмоброни
pneumaticcraft.armor.upgrade.air_conditioning	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	Air Conditioning	Воздушное кондиционорование
pneumaticcraft.armor.upgrade.block_tracker	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Block Tracker	Трекер блоков
pneumaticcraft.armor.upgrade.block_tracker.module.end_portal	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	End Portal Frames	Рамки портала Края
pneumaticcraft.armor.upgrade.block_tracker.module.energy	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Forge Energy Blocks	Forge Energy блоки
pneumaticcraft.armor.upgrade.block_tracker.module.fluids	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Fluid Tanks	Резервуары с жидкостью
pneumaticcraft.armor.upgrade.block_tracker.module.hackables	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Hackables	Взломано
pneumaticcraft.armor.upgrade.block_tracker.module.inventories	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Inventories	Инвентари
pneumaticcraft.armor.upgrade.block_tracker.module.misc	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Miscellaneous Blocks	Разные блоки
pneumaticcraft.armor.upgrade.block_tracker.module.spawner	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Mob Spawners	Спаунеры мобов
pneumaticcraft.armor.upgrade.charging	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Auto-Charger	Автозарядник
pneumaticcraft.armor.upgrade.coordinate_tracker	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Coordinate Tracker	Трекер координат
pneumaticcraft.armor.upgrade.core_components	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Core Components	Основные компоненты
pneumaticcraft.armor.upgrade.elytra	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Elytra	Элитра
pneumaticcraft.armor.upgrade.ender_visor	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Ender Visor	Эндер визор
pneumaticcraft.armor.upgrade.entity_tracker	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Entity Tracker	Трекер обьектов
pneumaticcraft.armor.upgrade.fall_protection	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Fall Protection	Защита от падения
pneumaticcraft.armor.upgrade.jet_boots	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Jet Boots	Реактивные ботинки
pneumaticcraft.armor.upgrade.jet_boots.module.builder_mode	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Builder Mode	Режим строителя
pneumaticcraft.armor.upgrade.jet_boots.module.flight_stabilizers	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Flight Stabilizers	Стабилизаторы полета
pneumaticcraft.armor.upgrade.jet_boots.module.hover	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Hover	Парение
